name,address,class,longitude,latitude
Kargo Kitchen & Bar,"27, Lane Number 8, Suyojana Society, Kavadewadi, Koregaon Park, Pune, Maharashtra 411001",Restaurants,73.8964935,18.5365246
Foodland Restaurant & Bar,"19, Bund Garden Rd, Central Excise Colony, Sangamvadi, Pune, Maharashtra 411001",Restaurants,73.8771725,18.5316653
JW Marriott Hotel Pune,"Senapati Bapat Road, Pune, Maharashtra 411053",Restaurants,73.829899,18.531918
The Tea Lounge - Sun N Sand Hotel,"262, Bund Garden, Pune, Maharashtra 411001",Restaurants,73.8815637,18.5383212
Sawai Veg,"Plot No 14A, Survey No 120, Devgiri Apartment, A Wing, Sinhagad Road, Pune, Maharashtra 411030",Restaurants,73.8377343,18.4957481
Shravan Restaurant,"1145, Opp Police Ground, Fergusson College Road, Sector 28, Pune, Maharashtra 411016",Restaurants,73.8440047,18.5306188
Gajalee,"G2, The Metropole Condomium, Near INOX Multiplex Ground Floor, Bund Garden Rd, Pune, Maharashtra 411001",Restaurants,73.8780007,18.5273058
Nawab Of Asia,"San Mahu Complex, 1st Floor, Agarkar Nagar, Bund Garden, Pune 411001",Restaurants,73.8777006,18.5224497
The Chilika Restaurant,"Shop No: 129, Vittor 1, Fortaleza, Kalyaninaagar, Pune, Maharashtra 411006",Restaurants,73.9050703,18.545343
Nisarg,"6/1, Nalstop, Erandwane,opp.padale Palace, Pune, Maharashtra 411004",Restaurants,73.831721,18.508594
Bhoj Restaurant,"Near The Real Computers, Baburao Phule Path, Sadashiv Peth, Pune, Maharashtra 411030",Restaurants,73.8461897,18.5096468
Legacy Restaurant,"Ground Floor, Lunkad, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.914021,18.56656
Four Points By Sheraton,"5th Mile Stone, Nagar Road, Pune, Maharashtra 411014",Restaurants,73.922359,18.562683
Kalinga Restaurant & Bar,"15 A Patil Arcade Khilare Path, Pune, Maharashtra 411004",Restaurants,73.835059,18.507894
Abhiruchi Restaurant,"Sinhagad Rd, Wadgaon Budruk, Vadgaon Budruk, Pune, Maharashtra 411041",Restaurants,73.8165767,18.4630198
j1 The Maratha Fine Dine,"1202-5, Ghole Road, Shivajinagar, Pune, Maharashtra 411004",Restaurants,73.843716,18.524211
Chillies Restaurant,"81/82, Ganesh Bagh, Koragaon Park Annexure, Opp Hard Rock Cafe, Mundhwa, Pune, Maharashtra 411036",Restaurants,73.9122622,18.5347094
Zeeshan Restaurant - Apna Hyderabadi Food,"1-2 Riddhi Enclave, Anand Vidya Niketan High School Rd, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.9166566,18.5678827
Rajdhani Thali Restaurant,"Level 2, Phoenix MarketCity, 207, Pune Nagar Road, Clover Park, Viman Nagar, Pune, Maharashtra 411014",Restaurants,73.9169263,18.5619579
